x,y
-5.0,0.038461538461538464
-4.9,0.03998400639744101
-4.8,0.041597337770382686
-4.7,0.043308791684711974
-4.6,0.04512635379061369
-4.5,0.04705882352941172
-4.4,0.0491159135559921
-4.3,0.05130836326321185
-4.2,0.05364806866952782
-4.1,0.056148231330713
-4.0,0.05882352941176461
-3.9,0.06169031462060445
-3.8,0.0647668393782382
-3.7,0.06807351940095287
-3.6,0.07163323782234939
-3.5,0.07547169811320734
-3.4,0.07961783439490422
-3.3,0.08410428931875498
-3.2,0.08896797153024878
-3.1,0.09425070688030122
-3.0,0.09999999999999958
-2.9,0.10626992561105159
-2.8,0.11312217194570082
-2.7,0.12062726176115736
-2.6,0.12886597938144256
-2.5,0.13793103448275779
-2.4,0.14792899408283927
-2.3,0.15898251192368726
-2.2,0.1712328767123275
-2.1,0.18484288354898187
-2.0,0.1999999999999983
-1.9,0.2169197396963104
-1.8,0.2358490566037713
-1.7,0.2570694087403573
-1.6,0.28089887640449135
-1.5,0.30769230769230416
-1.4,0.3378378378378338
-1.3,0.37174721189590604
-1.2,0.40983606557376506
-1.1,0.45248868778279927
-1.0,0.4999999999999929
-0.9,0.5524861878452959
-0.8,0.6097560975609667
-0.7,0.6711409395973058
-0.6,0.7352941176470487
-0.5,0.7999999999999897
-0.4,0.8620689655172317
-0.3,0.917431192660542
-0.2,0.9615384615384551
-0.1,0.9900990099009866
-0.0,1.0
0.1,0.9900990099009935
0.2,0.9615384615384682
0.3,0.91743119266056
0.4,0.8620689655172529
0.5,0.8000000000000125
0.6,0.7352941176470718
0.7,0.6711409395973282
0.8,0.6097560975609879
0.9,0.5524861878453153
1.0,0.5000000000000107
1.1,0.45248868778281526
1.2,0.4098360655737794
1.3,0.3717472118959188
1.4,0.33783783783784516
1.5,0.30769230769231426
1.6,0.2808988764045003
1.7,0.25706940874036527
1.8,0.23584905660377842
1.9,0.21691973969631673
2.0,0.20000000000000398
2.1,0.18484288354898698
2.2,0.1712328767123321
2.3,0.1589825119236914
2.4,0.147928994082843
2.5,0.13793103448276114
2.6,0.12886597938144564
2.7,0.12062726176116015
2.8,0.11312217194570336
2.9,0.10626992561105392
3.0,0.1000000000000017
3.1,0.09425070688030318
3.2,0.08896797153025059
3.3,0.08410428931875663
3.4,0.07961783439490575
3.5,0.07547169811320875
3.6,0.07163323782235069
3.7,0.06807351940095409
3.8,0.06476683937823934
3.9,0.06169031462060551
4.0,0.05882352941176559
4.1,0.056148231330713914
4.2,0.05364806866952868
4.3,0.051308363263212656
4.4,0.04911591355599285
4.5,0.04705882352941243
4.6,0.04512635379061435
4.7,0.043308791684712605
4.8,0.041597337770383276
4.9,0.039984006397441575
5.0,0.038461538461538984
